6885	9917	5507	7469	8657
6027	8913	2289	1726	8673
5122	9942	8941	6839	8312
4205	9362	6780	2093	7288
4894	8652	3073	4971	2059
6061	8220	6997	9123	6018
3942	3049	5880	2379	4803
9833	2726	3355	3197	4891
2540	5904	3636	8226	5720
6755	4590	3476	2878	9362
6174	1379	1041	2064	2539
6593	4720	6310	9322	7811
7615	3949	1000	3498	3942
2106	3261	9562	9952	3962
5864	2071	5316	5938	2919
3787	9191	8375	6850	2196
9485	8243	1240	4226	6490
5769	7902	6159	3605	8254
2276	1259	7360	6448	7494
9180	6484	5319	8771	5143
